season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,6,4,SEA,DAL,0.1585622835375946,1.0,-1,-7.0,False
2014,6,4,PHI,NYG,-0.25627465605078,1.0,0,27.0,True
2014,6,6,HOU,IND,-0.0175660703805067,1.0,0,-5.0,False
2014,6,6,BUF,NE,-0.039539469563102,1.0,0,-15.0,False
2014,6,6,CIN,CAR,0.0668825528977119,1.0,0,0.0,False
2014,6,6,CLE,PIT,0.0009687678766477,1.0,0,21.0,True
2014,6,6,MIA,GB,-0.1693716075022699,1.0,4,-3.0,False
2014,6,6,MIN,DET,-0.1115301337588628,1.0,3,-14.0,False
2014,6,6,NYJ,DEN,-0.1347893036961382,1.0,0,-14.0,False
2014,6,6,TB,BAL,-0.238250097320232,1.0,0,-31.0,False
2014,6,6,TEN,JAX,0.1475475040724794,1.0,0,2.0,True
2014,6,6,ARI,WAS,0.003590741499113,1.0,1,10.0,True
2014,6,6,ATL,CHI,-0.0866779769109347,1.0,0,-14.0,False
2014,6,6,SEA,DAL,0.178949749739513,1.0,-1,-7.0,False
2014,6,6,PHI,NYG,-0.2362603060009305,1.0,0,27.0,True
2014,6,10,HOU,IND,0.0210289390420422,1.0,0,-5.0,False
2014,6,10,BUF,NE,-0.0478056829639474,1.0,0,-15.0,False
2014,6,10,CIN,CAR,0.0637673641192568,1.0,0,0.0,False
2014,6,10,CLE,PIT,0.016933724499938,1.0,0,21.0,True
2014,6,10,MIA,GB,-0.1523892517145773,1.0,4,-3.0,False
2014,6,10,MIN,DET,-0.1114075773710113,1.0,3,-14.0,False
2014,6,10,NYJ,DEN,-0.1286669253901628,1.0,0,-14.0,False
2014,6,10,TB,BAL,-0.2531994398447318,1.0,0,-31.0,False
2014,6,10,TEN,JAX,0.1303394103167112,1.0,0,2.0,True
2014,6,10,ARI,WAS,0.0080901170863745,1.0,1,10.0,True
2014,6,10,ATL,CHI,-0.0758784226281907,1.0,0,-14.0,False
2014,6,10,SEA,DAL,0.1965435090374459,1.0,-1,-7.0,False
2014,6,10,PHI,NYG,-0.2202281268957774,1.0,0,27.0,True
2014,6,20,HOU,IND,0.0502239428516928,1.0,0,-5.0,False
2014,6,20,BUF,NE,-0.053945453554033,1.0,0,-15.0,False
2014,6,20,CIN,CAR,0.060066789463155,1.0,0,0.0,False
2014,6,20,CLE,PIT,0.0288862911137611,1.0,0,21.0,True
2014,6,20,MIA,GB,-0.1391145034529269,1.0,4,-3.0,False
