season,team,ret_ppa_total,ret_ppa_pass,ret_usage,ret_pass_usage,sp_overall,sp_offense,sp_defense,portal_net_count,portal_net_rating
2021,North Alabama,,,,,,,,3.0,0.0
2021,Southern Illinois,,,,,,,,2.0,0.0
2021,Azusa Pacific,,,,,,,,-1.0,0.0
2021,Southern Utah,,,,,,,,1.0,0.0
2021,Valdosta State,,,,,,,,1.0,0.0
2021,Central Connecticut,,,,,,,,1.0,0.0
2021,West Texas,,,,,,,,1.0,0.0
2021,Houston Christian,,,,,,,,-5.0,-0.84
2021,Missouri Western State,,,,,,,,-1.0,0.0
2021,Pittsburg State,,,,,,,,1.0,0.0
2021,Cal Poly,,,,,,,,-2.0,0.0
2021,Towson,,,,,,,,6.0,0.0
2021,American International,,,,,,,,-1.0,0.0
2021,Chadron State,,,,,,,,-1.0,0.0
2021,Arkansas-Pine Bluff,,,,,,,,0.0,0.0
2021,Presbyterian,,,,,,,,-4.0,0.0
2021,North Dakota State,,,,,,,,2.0,0.0
2021,Northern Iowa,,,,,,,,4.0,-1.65
2021,Northern Colorado,,,,,,,,6.0,0.0
2021,Arkansas Tech,,,,,,,,1.0,0.0
2021,City College of San Francisco,,,,,,,,1.0,0.0
2021,Dartmouth,,,,,,,,-1.0,0.0
2021,Tennessee State,,,,,,,,6.0,0.0
2021,Prairie View A&M,,,,,,,,1.0,0.0
2021,East Tennessee State,,,,,,,,2.0,0.0
2021,Incarnate Word,,,,,,,,-1.0,0.0
2021,Merrimack,,,,,,,,0.0,0.0
2021,Morgan State,,,,,,,,-1.0,0.0
2021,Kentucky State,,,,,,,,1.0,0.0
2021,Snow College,,,,,,,,1.0,0.8
2021,Pennsylvania,,,,,,,,-2.0,0.0
2021,Southern,,,,,,,,1.0,0.0
2021,Notre Dame College,,,,,,,,1.0,0.0
2021,Sacred Heart,,,,,,,,0.0,0.0
2021,Tiffin University,,,,,,,,1.0,0.0
2021,Blinn College,,,,,,,,4.0,0.0
2021,University of Mary,,,,,,,,1.0,0.0
2021,Grand Valley State,,,,,,,,-1.0,0.0
2021,James Madison,,,,,,,,0.0,0.0
2021,Alabama A&M,,,,,,,,1.0,-0.83
2021,Fordham,,,,,,,,-1.0,0.0
2021,The Citadel,,,,,,,,-1.0,0.0
2021,Saint Francis,,,,,,,,-2.0,-1.65
2021,Mississippi Gulf Coast C.C.,,,,,,,,1.0,0.0
2021,North Carolina Central,,,,,,,,-1.0,0.0
2021,Duquesne,,,,,,,,3.0,0.0
2021,Montana State,,,,,,,,2.0,0.0
2021,Fairmont State,,,,,,,,-1.0,-0.82
2021,Abilene Christian,,,,,,,,2.0,-0.84
2021,Wofford,,,,,,,,1.0,0.0
2021,Northwestern State,,,,,,,,1.0,0.0
2021,UAlbany,,,,,,,,2.0,0.0
2021,Maine,,,,,,,,-1.0,0.0
2021,Texas-Permian Basin,,,,,,,,1.0,0.0
2021,Jacksonville State,,,,,,,,5.0,-0.83
2021,Lindenwood University,,,,,,,,1.0,0.0
2021,Wagner,,,,,,,,0.0,0.0
2021,Youngstown State,,,,,,,,1.0,0.0
2021,Eastern Illinois,,,,,,,,-1.0,0.0
2021,McNeese,,,,,,,,0.0,-0.83
2021,Bucknell,,,,,,,,-1.0,0.0
2021,Illinois State,,,,,,,,1.0,-1.67
2021,Stony Brook,,,,,,,,3.0,0.0
2021,College of the Canyons,,,,,,,,1.0,0.0
2021,Colgate,,,,,,,,-1.0,0.0
2021,Southwest Minnesota State,,,,,,,,1.0,0.0
2021,Florida A&M,,,,,,,,4.0,0.0
2021,Sam Houston,,,,,,,,1.0,0.0
2021,Jackson State,,,,,,,,17.0,-0.88
2021,Bowie State,,,,,,,,1.0,0.0
2021,Central Missouri,,,,,,,,1.0,0.0
2021,Southeast Missouri State,,,,,,,,-2.0,-0.84
2021,Idaho,,,,,,,,6.0,0.0
2021,Stephen F. Austin,,,,,,,,1.0,0.0
2021,Iowa Central C.C.,,,,,,,,1.0,0.0
2021,Fort Valley State,,,,,,,,1.0,0.0
2021,Utah Tech,,,,,,,,2.0,0.0
2021,Chattanooga,,,,,,,,4.0,0.0
2021,Sacramento State,,,,,,,,1.0,0.0
2021,Samford,,,,,,,,1.0,0.0
2021,SE Louisiana,,,,,,,,3.0,0.0
2021,San Diego,,,,,,,,0.0,0.0
2021,Colorado Mesa,,,,,,,,3.0,0.0
2021,Weber State,,,,,,,,1.0,0.0
2021,Furman,,,,,,,,-1.0,0.0
2021,Robert Morris,,,,,,,,-1.0,0.0
2021,Lehigh,,,,,,,,-1.0,0.0
2021,Harvard,,,,,,,,-2.0,-0.85
2021,South Dakota State,,,,,,,,-1.0,0.0
2021,Austin Peay,,,,,,,,-2.0,0.0
2021,Bryant,,,,,,,,1.0,0.0
2021,Nicholls,,,,,,,,4.0,0.0
2021,Delaware,,,,,,,,0.0,-0.8
2021,West Florida,,,,,,,,2.0,0.0
2021,Central Oklahoma,,,,,,,,2.0,0.0
2021,Mercer,,,,,,,,1.0,0.0
2021,Western Carolina,,,,,,,,1.0,0.0
2021,Delta State,,,,,,,,1.0,0.0
2021,Alabama State,,,,,,,,-1.0,0.0
2021,Angelo State,,,,,,,,1.0,0.0
2021,Holy Cross,,,,,,,,-3.0,-0.8
2022,Air Force,261.7,60.2,0.861,0.922,3.9,16.3,12.3,-9.0,-1.52
2022,Akron,47.0,4.7,0.467,0.291,-23.4,16.7,38.5,5.0,2.3400000000000007
2022,Alabama,393.8,239.9,0.586,0.962,30.3,42.9,14.2,-19.0,-7.55
2022,App State,290.8,162.4,0.673,0.943,1.7,32.9,29.8,-1.0,0.8
2022,Arizona,154.2,54.9,0.825,1.0,-3.2,37.6,41.1,-19.0,0.33999999999999986
2022,Arizona State,54.3,7.5,0.134,0.03,-4.1,30.5,35.7,-8.0,-0.9100000000000001
2022,Arkansas,275.7,116.7,0.744,0.981,12.0,38.3,26.3,-13.0,0.34000000000000075
2022,Arkansas State,109.1,21.3,0.252,0.175,-13.0,23.7,38.5,-14.0,-4.820000000000001
2022,Army,174.8,-1.6,0.525,0.179,-1.5,24.6,25.3,-6.0,-1.57
2022,Auburn,173.4,4.4,0.558,0.288,5.1,32.6,27.9,-13.0,-10.450000000000001
2022,Ball State,100.3,5.8,0.459,0.071,-14.9,16.0,30.1,-5.0,1.67
2022,Baylor,88.1,28.1,0.171,0.263,11.7,37.6,26.1,-5.0,-0.8299999999999998
2022,Boise State,283.7,147.8,0.635,0.981,5.7,24.1,18.5,-3.0,0.9300000000000002
2022,Boston College,202.2,49.1,0.597,0.369,-14.9,20.4,33.8,-9.0,-1.57
2022,Bowling Green,109.0,29.3,0.993,0.984,-18.1,23.8,40.6,-7.0,-3.1399999999999997
2022,Buffalo,94.6,9.6,0.363,0.254,-9.2,25.0,35.0,-6.0,-3.1400000000000006
2022,BYU,300.9,113.4,0.587,0.826,-1.4,34.3,34.8,-6.0,1.9499999999999997
2022,California,63.0,0.0,0.226,0.0,-3.0,23.2,25.9,-5.0,-0.8400000000000003
2022,Central Michigan,269.5,109.1,0.7,0.682,-14.0,19.0,32.2,-15.0,-5.14
2022,Charlotte,382.8,146.2,0.916,1.0,-16.4,24.0,39.2,-6.0,0.8099999999999999
2022,Cincinnati,148.1,-0.4,0.241,0.033,13.1,27.6,16.1,-3.0,1.9200000000000004
2022,Clemson,206.2,44.0,0.621,0.492,17.6,34.9,18.5,-9.0,-7.6499999999999995
2022,Coastal Carolina,354.2,195.8,0.623,0.991,0.6,32.7,30.6,-12.0,-1.7000000000000002
2022,Colorado,131.2,22.7,0.717,0.986,-20.4,24.0,45.0,-18.0,-9.190000000000001
2022,Colorado State,104.0,-0.8,0.422,0.002,-22.2,7.8,29.0,-11.0,0.9199999999999999
2022,Duke,108.0,6.4,0.329,0.218,5.0,29.4,24.7,-5.0,-2.6000000000000005
2022,East Carolina,313.9,120.8,0.873,0.986,1.1,31.5,28.7,-14.0,3.349999999999999
2022,Eastern Michigan,184.9,10.6,0.451,0.013,-7.1,24.0,32.4,-10.0,-0.029999999999999805
2022,Florida,155.2,19.4,0.302,0.164,10.4,39.6,29.5,-9.0,-5.11
2022,Florida Atlantic,149.4,55.9,0.746,0.88,-7.1,24.4,30.4,0.0,2.59
2022,Florida International,103.5,11.6,0.372,0.1,-25.5,18.4,42.3,-6.0,-3.3000000000000007
2022,Florida State,265.1,68.9,0.598,0.595,13.2,34.8,20.4,-15.0,1.3000000000000007
2022,Fresno State,474.1,203.8,0.791,0.998,3.3,27.1,24.4,-4.0,1.96
2022,Georgia,389.9,137.8,0.63,0.773,35.3,37.2,3.7,-13.0,-8.95
2022,Georgia Southern,90.3,2.3,0.403,0.15,-6.4,34.3,40.3,-7.0,0.08999999999999986
2022,Georgia State,326.4,78.8,0.79,0.758,-3.3,33.7,38.3,-11.0,-4.86
2022,Georgia Tech,168.5,53.5,0.407,0.517,-11.8,18.8,29.5,1.0,0.06999999999999851
2022,Hawai'i,85.9,11.5,0.282,0.231,-24.7,15.8,39.4,-9.0,-6.890000000000001
2022,Houston,417.2,183.2,0.834,0.998,4.5,42.5,37.7,-12.0,-1.3100000000000005
2022,Illinois,126.5,-3.1,0.694,0.504,15.9,20.6,5.5,-15.0,-3.33
2022,Indiana,30.4,4.6,0.377,0.585,-7.1,29.9,36.6,-21.0,-4.640000000000001
2022,Iowa,182.9,34.8,0.648,0.998,12.7,16.0,5.1,-6.0,-2.41
2022,Iowa State,142.6,4.6,0.222,0.063,5.3,17.7,10.6,-17.0,-4.26
2022,Kansas,212.9,79.4,0.722,0.944,2.9,40.6,36.0,-8.0,7.000000000000001
2022,Kansas State,187.7,14.5,0.585,0.257,21.4,36.4,15.7,-10.0,-3.1399999999999997
2022,Kent State,244.1,4.4,0.49,0.06,-13.1,25.6,37.9,-3.0,1.63
2022,Kentucky,271.5,111.4,0.642,0.734,13.0,23.2,9.9,-10.0,-1.38
2022,Liberty,136.9,10.9,0.255,0.081,-1.5,24.1,25.4,3.0,5.03
2022,Louisiana,149.9,21.1,0.28,0.04,2.0,21.7,20.3,-12.0,-9.47
2022,Louisiana Tech,98.3,0.9,0.269,0.003,-17.8,29.6,47.0,-2.0,-0.06999999999999984
2022,Louisville,391.1,142.5,0.653,0.628,9.0,27.0,19.1,-5.0,-1.3499999999999996
2022,LSU,214.0,18.7,0.287,0.139,16.2,34.2,17.6,-3.0,2.4800000000000004
2022,Marshall,165.5,1.2,0.408,0.01,3.0,15.7,11.4,-1.0,1.7299999999999995
2022,Maryland,337.5,155.5,0.676,0.964,11.2,33.8,24.2,-21.0,-7.510000000000001
2022,Massachusetts,103.9,0.1,0.848,0.853,-30.3,7.5,36.4,4.0,8.13
2022,Memphis,338.0,164.3,0.797,0.88,6.8,37.0,31.8,-10.0,-2.25
2022,Miami,317.1,161.0,0.589,0.719,-2.7,24.4,28.9,-7.0,-0.5099999999999998
2022,Miami (OH),296.6,119.6,0.737,0.698,-12.7,8.6,22.1,-9.0,-4.07
2022,Michigan,338.4,115.5,0.741,0.995,32.0,38.0,7.6,-9.0,-2.41
2022,Michigan State,334.4,156.1,0.644,0.975,1.2,31.9,29.7,-13.0,-3.8099999999999987
2022,Middle Tennessee,198.5,81.8,0.604,0.819,-6.9,25.6,33.3,-8.0,-0.06999999999999984
2022,Minnesota,305.0,100.7,0.674,1.0,16.0,23.5,8.6,-15.0,-5.709999999999999
2022,Mississippi State,229.3,15.5,0.401,0.031,15.4,35.1,19.9,-14.0,-4.989999999999999
2022,Missouri,145.7,16.5,0.299,0.171,8.1,26.0,18.3,-4.0,0.9400000000000013
2022,Navy,34.6,-3.5,0.472,0.976,-7.2,18.2,24.4,-4.0,-2.42
2022,NC State,288.5,144.9,0.62,0.996,6.8,20.4,15.3,-6.0,-0.8500000000000001
2022,Nebraska,324.5,142.6,0.556,0.49,-1.2,25.5,25.6,-5.0,3.460000000000001
2022,Nevada,40.3,0.1,0.287,0.085,-22.4,15.9,37.8,-3.0,-6.74
2022,New Mexico,21.2,-13.1,0.344,0.324,-26.9,6.0,31.9,-5.0,-2.57
2022,New Mexico State,62.5,15.4,0.287,0.153,-15.4,12.0,26.0,-7.0,0.1299999999999999
2022,North Carolina,225.1,29.8,0.356,0.09,7.8,41.7,35.0,-11.0,-4.96
2022,Northern Illinois,394.5,144.0,0.763,0.906,-18.8,25.3,43.1,-2.0,-0.9000000000000001
2022,North Texas,267.9,70.8,0.749,0.997,-1.5,31.3,34.1,-12.0,0.6699999999999999
2022,Northwestern,139.8,21.4,0.694,0.497,-13.4,17.0,28.6,-3.0,-3.3600000000000003
2022,Notre Dame,211.7,40.8,0.402,0.155,10.3,30.5,21.4,-10.0,-5.85
2022,Ohio,106.2,42.4,0.551,0.827,-4.6,31.6,35.2,-9.0,-1.58
2022,Ohio State,582.1,257.5,0.743,0.953,31.1,45.1,15.7,-17.0,-10.42
2022,Oklahoma,143.4,15.2,0.211,0.016,15.4,40.8,26.5,-2.0,1.5399999999999991
2022,Oklahoma State,336.0,132.3,0.66,0.883,11.3,37.6,27.9,-11.0,-6.26
