game_id,season,week,game_date,home_team,away_team,home_score,away_score
401282655,2021,6,2021-10-09T19:30:00.000Z,Syracuse,Wake Forest,37,40
401282656,2021,6,2021-10-09T23:30:00.000Z,Virginia Tech,Notre Dame,29,32
401282657,2021,7,2021-10-15T23:00:00.000Z,Syracuse,Clemson,14,17
401282658,2021,7,2021-10-16T23:30:00.000Z,Boston College,NC State,7,33
401282659,2021,7,2021-10-16T19:30:00.000Z,North Carolina,Miami,45,42
401282660,2021,7,2021-10-16T16:30:00.000Z,Virginia,Duke,48,0
401282661,2021,7,2021-10-16T19:30:00.000Z,Virginia Tech,Pittsburgh,7,28
401282662,2021,8,2021-10-23T16:00:00.000Z,Army,Wake Forest,56,70
401282663,2021,8,2021-10-23T16:00:00.000Z,Florida State,Massachusetts,59,3
401282664,2021,8,2021-10-23T20:00:00.000Z,Louisville,Boston College,28,14
401282665,2021,8,2021-10-23T23:30:00.000Z,Miami,NC State,31,30
401282666,2021,8,2021-10-23T19:30:00.000Z,Pittsburgh,Clemson,27,17
401282667,2021,8,2021-10-23T23:30:00.000Z,Virginia,Georgia Tech,48,40
401282668,2021,8,2021-10-23T16:30:00.000Z,Virginia Tech,Syracuse,36,41
401282669,2021,9,2021-10-31T02:15:00.000Z,BYU,Virginia,66,49
401282670,2021,9,2021-10-30T19:30:00.000Z,Clemson,Florida State,24,20
401282671,2021,9,2021-10-30T16:00:00.000Z,Georgia Tech,Virginia Tech,17,26
401282672,2021,9,2021-10-30T23:30:00.000Z,NC State,Louisville,28,13
401282673,2021,9,2021-10-30T23:30:00.000Z,Notre Dame,North Carolina,44,34
401282674,2021,9,2021-10-30T16:00:00.000Z,Pittsburgh,Miami,34,38
401282675,2021,9,2021-10-30T19:30:00.000Z,Syracuse,Boston College,20,6
401282676,2021,9,2021-10-30T20:00:00.000Z,Wake Forest,Duke,45,7
401282677,2021,10,2021-11-05T23:30:00.000Z,Boston College,Virginia Tech,17,3
401282678,2021,10,2021-11-06T16:00:00.000Z,Duke,Pittsburgh,29,54
401282679,2021,10,2021-11-06T20:00:00.000Z,Florida State,NC State,14,28
401282680,2021,10,2021-11-06T23:30:00.000Z,Louisville,Clemson,24,30
401282681,2021,10,2021-11-06T16:30:00.000Z,Miami,Georgia Tech,33,30
401282682,2021,10,2021-11-06T16:00:00.000Z,North Carolina,Wake Forest,58,55
401282683,2021,11,2021-11-12T00:30:00.000Z,Pittsburgh,North Carolina,30,23
401282684,2021,11,2021-11-13T17:00:00.000Z,Clemson,UConn,44,7
401282685,2021,11,2021-11-13T20:30:00.000Z,Florida State,Miami,31,28
401282686,2021,11,2021-11-13T20:30:00.000Z,Georgia Tech,Boston College,30,41
401282687,2021,11,2021-11-13T17:00:00.000Z,Louisville,Syracuse,41,3
